rank.['country', 'win_percentage']
127."['Finland', 40.0]"
128."['Namibia', 40.0]"
129."['Rwanda', 40.0]"
130."['Madagascar', 40.0]"
131."['Peru', 40.0]"
132."['Iran', 38.88888888888889]"
133."['Ghana', 38.46153846153847]"
134."['Morocco', 38.46153846153847]"
135."['India', 37.5]"
136."['Republic of Ireland', 33.33333333333333]"
137."['Central African Republic', 33.33333333333333]"
138."['Denmark', 33.33333333333333]"
139."['Jamaica', 33.33333333333333]"
140."['Sudan', 33.33333333333333]"
141."['Belarus', 33.33333333333333]"
142."['Serbia', 33.33333333333333]"
143."['Bangladesh', 33.33333333333333]"
144."['Abkhazia', 33.33333333333333]"
145."['New Zealand', 33.33333333333333]"
146."['Gabon', 30.76923076923077]"
147."['Sierra Leone', 28.57142857142857]"
148."['Kuwait', 28.57142857142857]"
149."['Switzerland', 28.57142857142857]"
150."['Russia', 28.57142857142857]"
151."['England', 27.27272727272727]"
152."['Singapore', 25.0]"
153."['Cuba', 25.0]"
154."['Romania', 25.0]"
155."['Niger', 25.0]"
156."['Costa Rica', 22.22222222222222]"
157."['Libya', 20.0]"
158."['Malawi', 20.0]"
159."['Netherlands', 20.0]"
160."['Hong Kong', 20.0]"
161."['Equatorial Guinea', 20.0]"
162."['Iraqi Kurdistan', 16.666666666666664]"
